2026-03-18 11:45:51 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.166054  |  psnr: 15.069463  |  ssim: 0.435886
2026-03-18 12:35:55 | INFO     | srcnn_training | Epoch 0003 [VAL]  |  loss: 0.007010  |  psnr: 44.944562  |  ssim: 0.874932
2026-03-18 12:36:26 | INFO     | srcnn_training | Epoch 0008 [TRAIN]  |  loss: 0.075790  |  psnr: 17.281131  |  ssim: 0.504271
2026-03-18 12:36:26 | INFO     | srcnn_training | Epoch 0008 [VAL]  |  loss: 0.005890  |  psnr: 46.074832  |  ssim: 0.898938
2026-03-18 12:36:54 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.072607  |  psnr: 17.602195  |  ssim: 0.522050
2026-03-18 12:36:54 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.005156  |  psnr: 46.751514  |  ssim: 0.908572
2026-03-18 12:37:10 | INFO     | srcnn_training | Epoch 0011 [TRAIN]  |  loss: 0.074520  |  psnr: 17.390032  |  ssim: 0.502149
2026-03-18 12:37:10 | INFO     | srcnn_training | Epoch 0011 [VAL]  |  loss: 0.005296  |  psnr: 47.073880  |  ssim: 0.907081
2026-03-18 12:38:19 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.073590  |  psnr: 17.451580  |  ssim: 0.509336
2026-03-18 12:38:19 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.010240  |  psnr: 35.230033  |  ssim: 0.812583
2026-03-18 12:38:26 | INFO     | srcnn_training | Epoch 0021 [TRAIN]  |  loss: 0.074495  |  psnr: 17.463733  |  ssim: 0.498084
2026-03-18 12:38:26 | INFO     | srcnn_training | Epoch 0021 [VAL]  |  loss: 0.005267  |  psnr: 48.376181  |  ssim: 0.906006
2026-03-18 12:39:25 | INFO     | srcnn_training | Epoch 0030 [TRAIN]  |  loss: 0.074207  |  psnr: 17.520754  |  ssim: 0.494370
2026-03-18 12:39:25 | INFO     | srcnn_training | Epoch 0030 [VAL]  |  loss: 0.005841  |  psnr: 45.086502  |  ssim: 0.897778
2026-03-18 12:41:26 | INFO     | srcnn_training | Epoch 0040 [TRAIN]  |  loss: 0.071628  |  psnr: 17.533582  |  ssim: 0.523414
2026-03-18 12:41:26 | INFO     | srcnn_training | Epoch 0040 [VAL]  |  loss: 0.006185  |  psnr: 37.082378  |  ssim: 0.891876
2026-03-18 12:44:00 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.109501  |  psnr: 16.782843  |  ssim: 0.469502
2026-03-18 12:44:00 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.112513  |  psnr: 15.630226  |  ssim: 0.262597
2026-03-18 12:44:10 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.073374  |  psnr: 17.635168  |  ssim: 0.519783
2026-03-18 12:44:10 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.112960  |  psnr: 15.646207  |  ssim: 0.261013
2026-03-18 12:44:20 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.073477  |  psnr: 17.750559  |  ssim: 0.516330
2026-03-18 12:44:20 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.112074  |  psnr: 15.673311  |  ssim: 0.261250
2026-03-18 12:44:30 | INFO     | srcnn_training | Epoch 0003 [TRAIN]  |  loss: 0.072779  |  psnr: 17.807096  |  ssim: 0.525140
2026-03-18 12:44:30 | INFO     | srcnn_training | Epoch 0003 [VAL]  |  loss: 0.110547  |  psnr: 15.680048  |  ssim: 0.283669
2026-03-18 12:44:49 | INFO     | srcnn_training | Epoch 0005 [TRAIN]  |  loss: 0.073683  |  psnr: 17.592739  |  ssim: 0.516310
2026-03-18 12:44:49 | INFO     | srcnn_training | Epoch 0005 [VAL]  |  loss: 0.110897  |  psnr: 15.680447  |  ssim: 0.277012
2026-03-18 12:45:39 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.072918  |  psnr: 17.707679  |  ssim: 0.513265
2026-03-18 12:45:39 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.111626  |  psnr: 15.571787  |  ssim: 0.258365
2026-03-18 12:47:30 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.072860  |  psnr: 17.584615  |  ssim: 0.512893
2026-03-18 12:47:30 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.110045  |  psnr: 15.603160  |  ssim: 0.264778
2026-03-18 12:54:55 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.105195  |  psnr: 16.310105  |  ssim: 0.395436
2026-03-18 12:54:55 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.106516  |  psnr: 15.851046  |  ssim: 0.303971
2026-03-18 12:56:04 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.087599  |  psnr: 16.937403  |  ssim: 0.427382
2026-03-18 12:56:04 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.105080  |  psnr: 15.864204  |  ssim: 0.296545
2026-03-18 12:58:12 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.087241  |  psnr: 16.734249  |  ssim: 0.423055
2026-03-18 12:58:12 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.105068  |  psnr: 15.746710  |  ssim: 0.289856
2026-03-18 13:00:46 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.087679  |  psnr: 16.572179  |  ssim: 0.419381
2026-03-18 13:00:46 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.105319  |  psnr: 15.689503  |  ssim: 0.278048
2026-03-18 15:02:25 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.105195  |  psnr: 16.310105  |  ssim: 0.395436
2026-03-18 15:02:25 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.106516  |  psnr: 15.851046  |  ssim: 0.303971
2026-03-18 15:02:53 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.087599  |  psnr: 16.937403  |  ssim: 0.427382
2026-03-18 15:02:53 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.105080  |  psnr: 15.864204  |  ssim: 0.296545
2026-03-18 15:07:56 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.190814  |  psnr: 15.990672  |  ssim: 0.401406
2026-03-18 15:07:56 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.108106  |  psnr: 15.817311  |  ssim: 0.284083
2026-03-18 15:08:55 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.088653  |  psnr: 16.828771  |  ssim: 0.432376
2026-03-18 15:08:55 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.106343  |  psnr: 15.876053  |  ssim: 0.292644
2026-03-18 15:09:54 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.088143  |  psnr: 16.850435  |  ssim: 0.425776
2026-03-18 15:09:54 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.105440  |  psnr: 15.944562  |  ssim: 0.301191
2026-03-18 15:17:58 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.155393  |  psnr: 37.835603  |  ssim: 0.793017
2026-03-18 15:17:58 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.002313  |  psnr: 45.857781  |  ssim: 0.976262
2026-03-18 15:18:13 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.002830  |  psnr: 44.628421  |  ssim: 0.968009
2026-03-18 15:18:13 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.002035  |  psnr: 46.831798  |  ssim: 0.980085
2026-03-18 15:18:30 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.003254  |  psnr: 42.887929  |  ssim: 0.961513
2026-03-18 15:18:30 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.001843  |  psnr: 49.207345  |  ssim: 0.982870
2026-03-18 15:20:46 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.002899  |  psnr: 44.174813  |  ssim: 0.967095
2026-03-18 15:20:46 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.001804  |  psnr: 48.490265  |  ssim: 0.983593
2026-03-18 15:23:42 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.003124  |  psnr: 43.665938  |  ssim: 0.963100
2026-03-18 15:23:42 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.002160  |  psnr: 46.160529  |  ssim: 0.977977
2026-03-18 15:24:01 | INFO     | srcnn_training | Epoch 0021 [TRAIN]  |  loss: 0.003079  |  psnr: 43.138074  |  ssim: 0.963624
2026-03-18 15:24:01 | INFO     | srcnn_training | Epoch 0021 [VAL]  |  loss: 0.001683  |  psnr: 49.459208  |  ssim: 0.984996
2026-03-18 15:27:15 | INFO     | srcnn_training | Epoch 0030 [TRAIN]  |  loss: 0.003282  |  psnr: 43.111302  |  ssim: 0.961370
2026-03-18 15:27:15 | INFO     | srcnn_training | Epoch 0030 [VAL]  |  loss: 0.002144  |  psnr: 47.153834  |  ssim: 0.978170
2026-03-18 15:31:50 | INFO     | srcnn_training | Epoch 0040 [TRAIN]  |  loss: 0.002861  |  psnr: 44.093347  |  ssim: 0.966528
2026-03-18 15:31:50 | INFO     | srcnn_training | Epoch 0040 [VAL]  |  loss: 0.002261  |  psnr: 46.147086  |  ssim: 0.976392
2026-03-18 15:35:39 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.154645  |  psnr: 40.041283  |  ssim: 0.802494
2026-03-18 15:35:39 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.001768  |  psnr: 48.613912  |  ssim: 0.987121
2026-03-18 15:35:56 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.002021  |  psnr: 47.562317  |  ssim: 0.980030
2026-03-18 15:35:56 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.001568  |  psnr: 49.567702  |  ssim: 0.989187
2026-03-18 15:36:15 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.002274  |  psnr: 46.131887  |  ssim: 0.975384
2026-03-18 15:36:15 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.001445  |  psnr: 51.516685  |  ssim: 0.990674
2026-03-18 15:38:46 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.002060  |  psnr: 47.262494  |  ssim: 0.979442
2026-03-18 15:38:46 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.001417  |  psnr: 51.098143  |  ssim: 0.991118
2026-03-18 15:46:45 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.002199  |  psnr: 46.753668  |  ssim: 0.976625
2026-03-18 15:46:45 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.001662  |  psnr: 49.001336  |  ssim: 0.988001
2026-03-18 15:49:31 | INFO     | srcnn_training | Epoch 0021 [TRAIN]  |  loss: 0.002164  |  psnr: 46.383414  |  ssim: 0.977161
2026-03-18 15:49:31 | INFO     | srcnn_training | Epoch 0021 [VAL]  |  loss: 0.001326  |  psnr: 51.900710  |  ssim: 0.992044
2026-03-18 16:02:10 | INFO     | srcnn_training | Epoch 0030 [TRAIN]  |  loss: 0.002293  |  psnr: 46.320068  |  ssim: 0.975638
2026-03-18 16:02:10 | INFO     | srcnn_training | Epoch 0030 [VAL]  |  loss: 0.001650  |  psnr: 49.821252  |  ssim: 0.988286
2026-03-18 16:05:44 | INFO     | srcnn_training | Epoch 0040 [TRAIN]  |  loss: 0.002045  |  psnr: 47.138235  |  ssim: 0.979084
2026-03-18 16:05:44 | INFO     | srcnn_training | Epoch 0040 [VAL]  |  loss: 0.001737  |  psnr: 48.793510  |  ssim: 0.987111
2026-03-18 16:10:00 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:10:00 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:18:39 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:18:39 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:28:44 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 16:28:44 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:38:51 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:38:51 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:43:47 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:43:47 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: nan  |  psnr: nan  |  ssim: nan
2026-03-18 19:51:10 | INFO     | srcnn_training | Epoch 0000 [TRAIN]  |  loss: 0.154645  |  psnr: 40.041283  |  ssim: 0.802494
2026-03-18 19:51:10 | INFO     | srcnn_training | Epoch 0000 [VAL]  |  loss: 0.001768  |  psnr: 48.613912  |  ssim: 0.987121
2026-03-18 19:51:32 | INFO     | srcnn_training | Epoch 0001 [TRAIN]  |  loss: 0.002021  |  psnr: 47.562317  |  ssim: 0.980030
2026-03-18 19:51:32 | INFO     | srcnn_training | Epoch 0001 [VAL]  |  loss: 0.001568  |  psnr: 49.567702  |  ssim: 0.989187
2026-03-18 19:52:34 | INFO     | srcnn_training | Epoch 0002 [TRAIN]  |  loss: 0.002274  |  psnr: 46.131887  |  ssim: 0.975384
2026-03-18 19:52:34 | INFO     | srcnn_training | Epoch 0002 [VAL]  |  loss: 0.001445  |  psnr: 51.516685  |  ssim: 0.990674
2026-03-18 19:59:50 | INFO     | srcnn_training | Epoch 0010 [TRAIN]  |  loss: 0.002060  |  psnr: 47.262494  |  ssim: 0.979442
2026-03-18 19:59:50 | INFO     | srcnn_training | Epoch 0010 [VAL]  |  loss: 0.001417  |  psnr: 51.098143  |  ssim: 0.991118
2026-03-18 20:13:15 | INFO     | srcnn_training | Epoch 0020 [TRAIN]  |  loss: 0.002199  |  psnr: 46.753668  |  ssim: 0.976625
2026-03-18 20:13:15 | INFO     | srcnn_training | Epoch 0020 [VAL]  |  loss: 0.001662  |  psnr: 49.001336  |  ssim: 0.988001
2026-03-18 20:13:32 | INFO     | srcnn_training | Epoch 0021 [TRAIN]  |  loss: 0.002164  |  psnr: 46.383414  |  ssim: 0.977161
2026-03-18 20:13:32 | INFO     | srcnn_training | Epoch 0021 [VAL]  |  loss: 0.001326  |  psnr: 51.900710  |  ssim: 0.992044
2026-03-18 20:21:47 | INFO     | srcnn_training | Epoch 0030 [TRAIN]  |  loss: 0.002293  |  psnr: 46.320068  |  ssim: 0.975638
2026-03-18 20:21:47 | INFO     | srcnn_training | Epoch 0030 [VAL]  |  loss: 0.001650  |  psnr: 49.821252  |  ssim: 0.988286
